Player,Role,Amount,Team,Age,Year,Nation,Overseas,Mega,id,matches,Innings,Not Outs,Aggregate,Highest Score,Average,30s,50s,100s,4s,6s,Boundary %,Scoring Rate,Top Scored in Innings,Top Scored %,Overs,Balls Bowled,Wickets,3 Wickets in Innings,4 Wickets in Innings,5 Wickets in Innings,Economy Rate,Strike Rate,prog_agg,prog_avg,prog_sr,prog_bowlsr,prog_er,prog_wkts,prog_bowlavg,prog_matches,last_matches,last_inn,last_hs,last_runs,last_avg,last_sr,last_batpercent,overs,last_wkts,last_bowlavg,last_bowlsr,last_bowler,last_bowlpercent,birthyear
Brendon McCullum,Wicket Keeper,3.25,Chennai Super Kings,33,2014,Overseas,1,1,3008,109,109,5,2880,158,27.69,29,13,2,293,130,0.677777778,131.75,22,0.201834862,,,,,,,,,1239,27.53,123.16,,,0,,48,1,1,6,6,6,85.71,3.23,1,0,6,6,85.71,3.23,1981
Dinesh Karthik,Wicket Keeper,10.5,Royal Challengers Bangalore,30,2015,Indian,0,0,3210,242,221,46,4516,97,25.81,41,20,0,439,139,0.573516386,132.71,25,0.113122172,,,,,,,,,2066,24.89,124.23,,,0,,106,14,14,69,325,23.21,125.97,15.62,14,3,325,23.21,125.97,15.62,1985
Dinesh Karthik,Wicket Keeper,7.4,Kolkata Knight Riders,33,2018,Indian,0,1,3210,242,221,46,4516,97,25.81,41,20,0,439,139,0.573516386,132.71,25,0.113122172,,,,,,,,,2903,24.81,125.94,,,0,,152,14,13,65,361,36.1,139.38,15,13,2,361,36.1,139.38,15,1985
Dinesh Karthik,Wicket Keeper,5.5,Royal Challengers Bangalore,37,2022,Indian,0,1,3210,242,221,46,4516,97,25.81,41,20,0,439,139,0.573516386,132.71,25,0.113122172,,,,,,,,,4046,25.77,129.72,,,0,,213,17,15,40,223,22.3,131.18,8.71,15,0,223,22.3,131.18,8.71,1985
Dinesh Karthik,Wicket Keeper,2.3,Gujarat Lions,31,2016,Indian,0,0,3210,242,221,46,4516,97,25.81,41,20,0,439,139,0.573516386,132.71,25,0.113122172,,,,,,,,,2207,23.48,123.99,,,0,,122,16,11,28,141,12.82,120.51,6.1,11,0,141,12.82,120.51,6.1,1985
Wriddhiman Saha,Wicket Keeper,5,Sunrisers Hyderabad,34,2018,Indian,0,1,3759,161,136,24,2798,115,24.98,18,13,1,278,84,0.577555397,128.05,20,0.147058824,,,,,,,,,1557,25.52,130.73,,,0,,104,14,11,93*,234,23.4,125.13,10.6,11,1,234,23.4,125.13,10.6,1984
Wriddhiman Saha,Wicket Keeper,2.2,Kings XI Punjab,30,2014,Indian,0,1,3759,161,136,24,2798,115,24.98,18,13,1,278,84,0.577555397,128.05,20,0.147058824,,,,,,,,,442,27.63,127.75,,,0,,47,3,3,39,70,23.33,125,12.73,3,0,70,23.33,125,12.73,1984
Wriddhiman Saha,Wicket Keeper,1.9,Gujarat Titans,38,2022,Indian,0,1,3759,161,136,24,2798,115,24.98,18,13,1,278,84,0.577555397,128.05,20,0.147058824,,,,,,,,,2110,24.53,128.74,,,0,,133,9,9,44,131,14.56,93.57,9.89,9,0,131,14.56,93.57,9.89,1984
Wriddhiman Saha,Wicket Keeper,1.2,Sunrisers Hyderabad,35,2019,Indian,0,0,3759,161,136,24,2798,115,24.98,18,13,1,278,84,0.577555397,128.05,20,0.147058824,,,,,,,,,1679,24.33,129.85,,,0,,115,11,10,35,122,15.25,119.61,7.36,10,0,122,15.25,119.61,7.36,1984
Naman Ojha,Wicket Keeper,1.4,Delhi Daredevils,35,2018,Indian,0,1,3789,113,94,19,1554,94,20.72,5,6,0,121,79,0.616473616,118.35,9,0.095744681,,,,,,,,,1553,20.99,118.64,,,0,,112,14,5,34,79,19.75,121.54,3.36,5,0,79,19.75,121.54,3.36,1983
Naman Ojha,Wicket Keeper,0.5,Sunrisers Hyderabad,31,2014,Indian,0,1,3789,113,94,19,1554,94,20.72,5,6,0,121,79,0.616473616,118.35,9,0.095744681,,,,,,,,,969,22.02,117.6,,,0,,56,2,2,9,9,9,90,3.13,2,0,9,9,90,3.13,1983
Jos Buttler,Wicket Keeper,4.4,Rajasthan Royals,28,2018,Overseas,1,1,3888,96,95,10,3223,124,37.92,13,19,5,319,149,0.673285759,148.32,29,0.305263158,,,,,,,,,527,25.1,145.98,,,0,,24,10,10,77,272,27.2,153.67,16.38,10,1,272,27.2,153.67,16.38,1990
Jos Buttler,Wicket Keeper,3.8,Mumbai Indians,26,2016,Overseas,1,0,3888,96,95,10,3223,124,37.92,13,19,5,319,149,0.673285759,148.32,29,0.305263158,,,,,,,,,527,25.1,145.98,,,0,,24,10,10,77,272,27.2,153.67,16.38,10,1,272,27.2,153.67,16.38,1990
Jonny Bairstow,Wicket Keeper,6.75,Punjab Kings,33,2022,Overseas,1,1,3900,39,39,3,1291,114,35.86,9,9,1,133,55,0.667699458,142.65,11,0.282051282,,,,,,,,,1038,41.52,142.19,,,0,,28,7,7,63*,248,41.33,141.71,23.11,7,2,248,41.33,141.71,23.11,1989
Jonny Bairstow,Wicket Keeper,2.2,Sunrisers Hyderabad,30,2019,Overseas,1,0,3900,39,39,3,1291,114,35.86,9,9,1,133,55,0.667699458,142.65,11,0.282051282,,,,,,,,,1038,41.52,142.19,,,0,,28,7,7,63*,248,41.33,141.71,23.11,7,2,248,41.33,141.71,23.11,1989
Matthew Wade,Wicket Keeper,2.4,Gujarat Titans,35,2022,Overseas,1,1,3910,13,13,0,179,35,13.77,2,0,0,23,2,0.581005587,104.68,0,0,,,,,,,,,22,7.33,66.67,,,0,,3,3,3,11,22,7.33,66.67,5.42,,,,,,,1987
Quinton De Kock,Wicket Keeper,6.75,Lucknow Super Giants,30,2022,Overseas,1,1,3988,96,96,6,2907,140,32.3,16,20,2,287,114,0.630202958,134.21,28,0.291666667,,,,,,,,,2256,31.33,130.93,,,0,,77,11,11,70*,297,29.7,116.02,18.23,11,2,297,29.7,116.02,18.23,1992
Quinton De Kock,Wicket Keeper,3.5,Delhi Daredevils,22,2014,Overseas,1,1,3988,96,96,6,2907,140,32.3,16,20,2,287,114,0.630202958,134.21,28,0.291666667,,,,,,,,,6,2,40,,,0,,3,3,3,4,6,2,40,1.48,3,0,6,2,40,1.48,1992
Quinton De Kock,Wicket Keeper,2.8,Royal Challengers Bangalore,26,2018,Overseas,1,1,3988,96,96,6,2907,140,32.3,16,20,2,287,114,0.630202958,134.21,28,0.291666667,,,,,,,,,726,29.04,132.24,,,0,,26,13,13,108,445,37.08,136.09,22.91,11,2,297,29.7,116.02,18.23,1992
Kusal Janith Perera,Wicket Keeper,0.15,Rajasthan Royals,23,2013,Indian,0,0,3994,2,2,0,14,14,7,0,0,0,3,0,0.857142857,107.69,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990
C.M. Gautam,Wicket Keeper,0.2,Mumbai Indians,28,2014,Indian,0,1,4032,13,13,3,169,33,16.9,3,0,0,17,6,0.615384615,112.67,1,0.076923077,,,,,,,,,44,22,129.41,,,0,,3,3,3,30,44,22,129.41,9.73,3,0,44,22,129.41,9.73,1986
C.M. Gautam,Wicket Keeper,0.2,Delhi Daredevils,29,2015,Indian,0,0,4032,13,13,3,169,33,16.9,3,0,0,17,6,0.615384615,112.67,1,0.076923077,,,,,,,,,165,18.33,113.79,,,0,,12,9,9,33,121,17.29,109.01,8.9,9,0,121,17.29,109.01,8.9,1986
Manvinder Bisla,Wicket Keeper,0.6,Kolkata Knight Riders,30,2014,Indian,0,1,4055,39,39,1,798,92,21,2,4,0,93,23,0.639097744,113.68,4,0.102564103,,,,,,,,,758,21.66,114.33,,,0,,36,14,14,92,255,19.62,108.05,12.67,14,2,255,19.62,108.05,12.67,1984
Ambati Rayudu,Wicket Keeper,6.75,Chennai Super Kings,37,2022,Indian,0,1,4069,204,187,33,4348,100,28.23,37,22,1,359,173,0.56899724,127.54,33,0.176470588,,,,,,,,,3916,29.44,127.47,,,0,,175,16,13,72*,257,28.56,151.18,9.4,13,2,257,28.56,151.18,9.4,1985
Ambati Rayudu,Wicket Keeper,2.2,Chennai Super Kings,33,2018,Indian,0,1,4069,204,187,33,4348,100,28.23,37,22,1,359,173,0.56899724,127.54,33,0.176470588,,,,,,,,,2416,27.15,126.16,,,0,,114,5,5,63,91,18.2,116.67,12.31,5,1,91,18.2,116.67,12.31,1985
Aditya Tare,Wicket Keeper,1.6,Mumbai Indians,27,2014,Indian,0,1,4072,35,28,4,339,59,14.13,1,1,0,40,11,0.666666667,124.18,1,0.035714286,,,,,,,,,173,19.22,144.17,,,0,,12,5,5,59,123,24.6,146.43,16.18,5,1,123,24.6,146.43,16.18,1987
Aditya Tare,Wicket Keeper,1.2,Sunrisers Hyderabad,29,2016,Indian,0,0,4072,35,28,4,339,59,14.13,1,1,0,40,11,0.666666667,124.18,1,0.035714286,,,,,,,,,313,16.47,133.19,,,0,,29,2,2,7,14,7,82.35,4.28,2,0,14,7,82.35,4.28,1987
Aditya Tare,Wicket Keeper,0.25,Delhi Daredevils,30,2017,Indian,0,0,4072,35,28,4,339,59,14.13,1,1,0,40,11,0.666666667,124.18,1,0.035714286,,,,,,,,,321,15.29,128.4,,,0,,32,3,2,8,8,4,53.33,2,2,0,8,4,53.33,2,1987
Aditya Tare,Wicket Keeper,0.2,Mumbai Indians,31,2018,Indian,0,1,4072,35,28,4,339,59,14.13,1,1,0,40,11,0.666666667,124.18,1,0.035714286,,,,,,,,,339,14.13,124.18,,,0,,35,3,3,18,18,6,78.26,3.79,3,0,18,6,78.26,3.79,1987
Eklavya Dwivedi,Wicket Keeper,1,Gujarat Lions,28,2016,Indian,0,0,4074,4,2,0,24,19,12,0,0,0,2,2,0.833333333,171.43,0,0,,,,,,,,,24,12,171.43,,,0,,4,4,2,19,24,12,171.43,3.88,2,0,24,12,171.43,3.88,1988
Eklavya Dwivedi,Wicket Keeper,0.75,Sunrisers Hyderabad,29,2017,Indian,0,0,4074,4,2,0,24,19,12,0,0,0,2,2,0.833333333,171.43,0,0,,,,,,,,,24,12,171.43,,,0,,4,4,2,19,24,12,171.43,3.88,2,0,24,12,171.43,3.88,1988
Eklavya Dwivedi,Wicket Keeper,0.1,Chennai Super Kings,27,2015,Indian,0,0,4074,4,2,0,24,19,12,0,0,0,2,2,0.833333333,171.43,0,0,,,,,,,,,24,12,171.43,,,0,,4,4,2,19,24,12,171.43,3.88,2,0,24,12,171.43,3.88,1988
Anuj Rawat,Wicket Keeper,3.4,Royal Challengers Bangalore,37,2022,Indian,0,1,4085,18,12,7,55,23,11,0,0,0,4,1,0.4,79.71,0,0,,,,,,,,,55,11,79.71,,,0,,18,2,2,5,5,5,45.45,1.76,,,,,,,1985
Anuj Rawat,Wicket Keeper,0.8,Rajasthan Royals,35,2020,Indian,0,0,4085,18,12,7,55,23,11,0,0,0,4,1,0.4,79.71,0,0,,,,,,,,,55,11,79.71,,,0,,18,2,2,5,5,5,45.45,1.76,,,,,,,1985
Shreevats Goswami,Wicket Keeper,1,Sunrisers Hyderabad,29,2018,Indian,0,1,4094,31,21,1,293,52,14.65,2,1,0,32,3,0.498293515,99.32,2,0.095238095,,,,,,,,,241,16.07,96.02,,,0,,23,11,6,24,69,13.8,102.99,3.99,,,,,,,1989
Sanju Samson,Wicket Keeper,8,Rajasthan Royals,24,2018,Indian,0,1,4099,152,148,15,3888,119,29.23,31,20,3,304,182,0.593621399,137.19,30,0.202702703,,,,,,,,,1426,25.46,124.43,,,0,,66,14,14,102,386,27.57,141.39,17.4,14,2,386,27.57,141.39,17.4,1994
Sanju Samson,Wicket Keeper,4.2,Delhi Daredevils,22,2016,Indian,0,0,4099,152,148,15,3888,119,29.23,31,20,3,304,182,0.593621399,137.19,30,0.202702703,,,,,,,,,749,24.16,121.99,,,0,,38,14,11,76,204,20.4,125.15,9.55,11,1,204,20.4,125.15,9.55,1994
Dishant Yagnik,Wicket Keeper,0.3,Rajasthan Royals,31,2014,Indian,0,1,4103,25,17,7,170,34,17,2,0,0,23,2,0.611764706,124.09,0,0,,,,,,,,,166,16.6,126.72,,,0,,24,12,9,34,125,15.63,130.21,6.98,9,0,125,15.63,130.21,6.98,1983
Sheldon Jackson,Wicket Keeper,0.6,Kolkata Knight Riders,36,2022,Indian,0,1,4122,9,8,2,61,16,10.17,0,0,0,5,1,0.426229508,107.02,0,0,,,,,,,,,38,19,122.58,,,0,,4,4,3,16,38,19,122.58,5.97,,,,,,,1986
Sheldon Jackson,Wicket Keeper,0.2,Kolkata Knight Riders,35,2021,Indian,0,0,4122,9,8,2,61,16,10.17,0,0,0,5,1,0.426229508,107.02,0,0,,,,,,,,,38,19,122.58,,,0,,4,4,3,16,38,19,122.58,5.97,,,,,,,1986
Yogesh Takawale,Wicket Keeper,0.1,Royal Challengers Bangalore,30,2014,Indian,0,1,4166,16,10,2,192,45,24,2,0,0,26,3,0.635416667,107.87,2,0.2,,,,,,,,,88,29.33,101.15,,,0,,11,4,1,18,18,18,81.82,3.16,,,,,,,1984
Amit Paunikar,Wicket Keeper,0.2,Sunrisers Hyderabad,26,2014,Indian,0,1,4194,5,5,0,49,20,9.8,0,0,0,9,0,0.734693878,84.48,0,0,,,,,,,,,49,9.8,84.48,,,0,,5,4,4,20,49,12.25,85.96,9.19,,,,,,,1988
Baba Indrajith,Wicket Keeper,0.2,Kolkata Knight Riders,28,2022,Indian,0,1,4217,3,3,0,21,15,7,0,0,0,2,0,0.380952381,70,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994
Ben Dunk,Wicket Keeper,0.2,Mumbai Indians,27,2014,Overseas,1,1,4337,3,3,0,40,20,13.33,0,0,0,7,0,0.7,114.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987
Kona Srikar Bharat,Wicket Keeper,2,Delhi Capitals,29,2022,Indian,0,1,4384,10,9,2,199,78,28.43,2,1,0,12,8,0.48241206,122.09,1,0.111111111,,,,,,,,,191,38.2,122.44,,,0,,8,8,7,78*,191,38.2,122.44,16.31,7,1,191,38.2,122.44,16.31,1993
Kona Srikar Bharat,Wicket Keeper,0.2,Royal Challengers Bangalore,28,2021,Indian,0,0,4384,10,9,2,199,78,28.43,2,1,0,12,8,0.48241206,122.09,1,0.111111111,,,,,,,,,191,38.2,122.44,,,0,,8,8,7,78*,191,38.2,122.44,16.31,7,1,191,38.2,122.44,16.31,1993
Kona Srikar Bharat,Wicket Keeper,0.1,Delhi Daredevils,22,2015,Indian,0,0,4384,10,9,2,199,78,28.43,2,1,0,12,8,0.48241206,122.09,1,0.111111111,,,,,,,,,191,38.2,122.44,,,0,,8,8,7,78*,191,38.2,122.44,16.31,7,1,191,38.2,122.44,16.31,1993
Nikhil Shankar Naik,Wicket Keeper,0.3,Kings XI Punjab,21,2015,Indian,0,0,4392,4,4,0,31,22,7.75,0,0,0,2,0,0.258064516,62,0,0,,,,,,,,,30,10,63.83,,,0,,3,1,1,7,7,7,43.75,3.78,1,0,7,7,43.75,3.78,1994
Nikhil Shankar Naik,Wicket Keeper,0.2,Kolkata Knight Riders,25,2019,Indian,0,0,4392,4,4,0,31,22,7.75,0,0,0,2,0,0.258064516,62,0,0,,,,,,,,,23,11.5,74.19,,,0,,2,2,2,22,23,11.5,74.19,7.49,1,0,7,7,43.75,3.78,1994
Nikhil Shankar Naik,Wicket Keeper,0.2,Kolkata Knight Riders,26,2020,Indian,0,0,4392,4,4,0,31,22,7.75,0,0,0,2,0,0.258064516,62,0,0,,,,,,,,,30,10,63.83,,,0,,3,1,1,7,7,7,43.75,3.78,1,0,7,7,43.75,3.78,1994
Sam Billings,Wicket Keeper,2,Delhi Capitals,30,2021,Overseas,1,0,4428,30,27,1,503,56,19.35,2,3,0,40,20,0.55666004,129.64,2,0.074074074,,,,,,,,,334,17.58,133.6,,,0,,22,1,1,0,0,0,,,6,1,138,23,132.69,14.59,1991
Sam Billings,Wicket Keeper,2,Kolkata Knight Riders,31,2022,Overseas,1,1,4428,30,27,1,503,56,19.35,2,3,0,40,20,0.55666004,129.64,2,0.074074074,,,,,,,,,334,17.58,133.6,,,0,,22,1,1,0,0,0,,,6,1,138,23,132.69,14.59,1991
Sam Billings,Wicket Keeper,1,Chennai Super Kings,27,2018,Overseas,1,1,4428,30,27,1,503,56,19.35,2,3,0,40,20,0.55666004,129.64,2,0.074074074,,,,,,,,,226,22.6,134.52,,,0,,11,6,6,55,138,23,132.69,14.59,6,1,138,23,132.69,14.59,1991
Sam Billings,Wicket Keeper,0.3,Delhi Daredevils,25,2016,Overseas,1,0,4428,30,27,1,503,56,19.35,2,3,0,40,20,0.55666004,129.64,2,0.074074074,,,,,,,,,334,17.58,133.6,,,0,,22,6,1,0,0,0,,,6,1,138,23,132.69,14.59,1991
Debabrata Das,Wicket Keeper,0.2,Kolkata Knight Riders,20,2014,Indian,0,1,4430,1,1,0,4,4,4,0,0,0,1,0,1,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994
Rishabh Pant,Wicket Keeper,1.9,Delhi Daredevils,19,2016,Indian,0,0,4542,98,97,15,2838,128,34.61,28,15,1,260,129,0.639182523,147.97,24,0.24742268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997
Ishan Kishan,Wicket Keeper,15.25,Mumbai Indians,24,2022,Indian,0,1,4544,91,85,6,2324,99,29.42,18,15,0,220,103,0.644578313,134.26,17,0.2,,,,,,,,,1452,28.47,136.34,,,0,,61,10,10,84,241,26.78,133.89,16.51,10,2,241,26.78,133.89,16.51,1998
Ishan Kishan,Wicket Keeper,6.2,Mumbai Indians,20,2018,Indian,0,1,4544,91,85,6,2324,99,29.42,18,15,0,220,103,0.644578313,134.26,17,0.2,,,,,,,,,319,21.27,129.15,,,0,,16,11,10,61,277,27.7,134.47,14.38,10,1,277,27.7,134.47,14.38,1998
Jitesh Sharma,Wicket Keeper,0.2,Punjab Kings,29,2022,Indian,0,1,4554,26,24,3,543,49,25.86,7,0,0,44,33,0.688766114,159.24,2,0.083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
Jitesh Sharma,Wicket Keeper,0.1,Mumbai Indians,23,2016,Indian,0,0,4554,26,24,3,543,49,25.86,7,0,0,44,33,0.688766114,159.24,2,0.083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
Peter Handscomb,Wicket Keeper,0.3,Rising Pune Supergiant,25,2016,Overseas,1,0,4558,2,1,0,6,6,6,0,0,0,0,0,0,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991
Nicolas Pooran,Wicket Keeper,10.75,Sunrisers Hyderabad,27,2022,Overseas,1,1,4587,62,59,12,1270,77,27.02,15,6,0,76,91,0.669291339,156.79,8,0.13559322,,,,,,,,,606,22.44,154.99,,,0,,33,12,11,32,85,7.73,111.84,4.61,11,0,85,7.73,111.84,4.61,1995
Nicolas Pooran,Wicket Keeper,4.2,Kings XI Punjab,24,2019,Overseas,1,0,4587,62,59,12,1270,77,27.02,15,6,0,76,91,0.669291339,156.79,8,0.13559322,,,,,,,,,606,22.44,154.99,,,0,,33,12,11,32,85,7.73,111.84,4.61,11,0,85,7.73,111.84,4.61,1995
Glenn Phillips,Wicket Keeper,1.5,Sunrisers Hyderabad,26,2022,Overseas,1,1,4647,8,8,1,65,25,20,0,0,0,3,6,0.738461538,118.18,0,0,5,30,2,0,0,0,8,15,26,13,78.79,12,10,1,20,3,3,3,14*,26,13,78.79,7.12,2,1,20,12,10,10,1996
Vishnu Vinod,Wicket Keeper,0.5,Sunrisers Hyderabad,29,2022,Indian,0,1,4678,6,6,0,56,30,9.33,1,0,0,3,3,0.535714286,98.25,0,0,,,,,,,,,19,6.33,73.08,,,0,,3,3,3,9,19,6.33,73.08,4.08,,,,,,,1993
Vishnu Vinod,Wicket Keeper,0.2,Delhi Capitals,28,2021,Indian,0,0,4678,6,6,0,56,30,9.33,1,0,0,3,3,0.535714286,98.25,0,0,,,,,,,,,19,6.33,73.08,,,0,,3,3,3,9,19,6.33,73.08,4.08,,,,,,,1993
Alex Carey,Wicket Keeper,2.4,Delhi Capitals,29,2020,Overseas,1,0,4726,3,3,1,32,14,16,0,0,0,0,1,0.1875,110.34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991
Heinrich Klaasen,Wicket Keeper,0.5,Royal Challengers Bangalore,28,2019,Overseas,1,0,4731,19,17,3,514,104,36.71,5,2,1,37,26,0.591439689,165.81,3,0.176470588,,,,,,,,,57,19,121.28,,,0,,4,4,4,32,57,19,121.28,9.25,4,0,57,19,121.28,9.25,1991
Tim Seifert,Wicket Keeper,0.5,Delhi Capitals,28,2022,Overseas,1,1,4732,3,3,0,26,21,8.67,0,0,0,4,0,0.615384615,113.04,0,0,,,,,,,,,2,2,50,,,0,,1,1,1,2,2,2,50,1.21,1,0,2,2,50,1.21,1994
N Jagadeesan,Wicket Keeper,0.2,Chennai Super Kings,23,2018,Indian,0,1,4751,13,10,1,162,39,18,3,0,0,21,2,0.592592593,110.2,0,0,,,,,,,,,33,16.5,113.79,,,0,,5,5,2,33,33,16.5,113.79,4.53,,,,,,,1995
N. Jagadeesan,Wicket Keeper,0.2,Chennai Super Kings,27,2022,Indian,0,1,4751,13,10,1,162,39,18,3,0,0,21,2,0.592592593,110.2,0,0,,,,,,,,,33,16.5,113.79,,,0,,5,5,2,33,33,16.5,113.79,4.53,,,,,,,1995
Prashant Chopra,Wicket Keeper,0.2,Rajasthan Royals,26,2018,Indian,0,1,4779,2,1,0,8,8,8,0,0,0,2,0,1,133.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992
Prabhsimran Singh,Wicket Keeper,4.8,Kings XI Punjab,19,2019,Indian,0,0,4937,20,20,0,422,103,21.1,2,1,1,44,21,0.71563981,138.82,3,0.15,,,,,,,,,50,10,90.91,,,0,,5,2,2,12,19,9.5,82.61,5.51,2,0,19,9.5,82.61,5.51,2000
Prabhsimran Singh,Wicket Keeper,0.6,Punjab Kings,22,2022,Indian,0,1,4937,20,20,0,422,103,21.1,2,1,1,44,21,0.71563981,138.82,3,0.15,,,,,,,,,50,10,90.91,,,0,,5,2,2,12,19,9.5,82.61,5.51,2,0,19,9.5,82.61,5.51,2000
Prabhsimran Singh,Wicket Keeper,0.55,Kings XI Punjab,20,2020,Indian,0,0,4937,20,20,0,422,103,21.1,2,1,1,44,21,0.71563981,138.82,3,0.15,,,,,,,,,16,16,94.12,,,0,,1,1,1,16,16,16,94.12,9.58,1,0,16,16,94.12,9.58,2000
Joshua Philippe,Wicket Keeper,0.2,Royal Challengers Bangalore,23,2020,Overseas,1,0,5860,5,5,1,78,33,19.5,2,0,0,9,1,0.538461538,101.3,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997
Shahbaz Ahamad,Wicket Keeper,0.2,Royal Challengers Bangalore,26,2020,Indian,0,0,5861,39,25,6,321,45,40.5,3,0,0,21,12,0.485981308,117.15,2,0.08,62,372,14,1,0,0,9.15,26.57,60,8.57,111.11,13.33,6.8,9,15.11,13,11,7,14,59,8.43,111.32,3.35,7,0,59,8.43,111.32,3.35,1994
Parthiv Patel,Wicket Keeper,1.7,Royal Challengers Bangalore,23,2018,Indian,0,1,5968,9,7,2,80,23,,0,0,0,6,2,0.45,109.59,0,0,3,18,0,0,0,0,7.33,,25,25,92.59,,7.33,0,,2,2,2,18,25,25,92.59,8.25,2,0,25,25,92.59,8.25,1995
Parthiv Patel,Wicket Keeper,1.4,Royal Challengers Bangalore,19,2014,Indian,0,1,5968,9,7,2,80,23,,0,0,0,6,2,0.45,109.59,0,0,3,18,0,0,0,0,7.33,,25,25,92.59,,7.33,0,,2,2,2,18,25,25,92.59,8.25,2,0,25,25,92.59,8.25,1995
Dhruv Jurel,Wicket Keeper,0.2,Rajasthan Royals,21,2022,Indian,0,1,6541,13,11,4,152,34,21.71,3,0,0,11,9,0.644736842,172.73,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
Muttiah Muralitharan,Bowler,1,Royal Challengers Bangalore,42,2014,Overseas,1,1,1234,66,9,3,20,6,26.75,0,0,0,1,0,0.2,66.67,0,0,254,1524,63,5,0,0,6.63,24.19,20,3.33,66.67,23.8,6.56,60,26.02,61,6,0,0,0,,,,23,3,59,46,7.7,7.89,1972
Brad Hogg,Bowler,0.5,Kolkata Knight Riders,44,2015,Overseas,1,0,2068,21,6,3,22,13,24.78,0,0,0,1,0,0.181818182,100,0,0,76.2,458,23,2,1,0,7.47,19.91,15,7.5,93.75,23.6,7.22,10,28.4,10,1,0,0,0,,,,3.2,0,,,9.3,,1971
Harbhajan Singh,Bowler,2,Chennai Super Kings,38,2018,Indian,0,1,2138,163,90,37,833,64,26.97,5,1,0,79,42,0.681872749,137.91,4,0.044444444,569.2,3416,150,11,2,1,7.11,22.77,799,16.31,142.42,22.98,6.99,127,26.78,136,11,7,7*,16,8,100,0.85,41,8,33.25,30.75,6.49,12.12,1980
Harbhajan Singh,Bowler,2,Kolkata Knight Riders,41,2021,Indian,0,0,2138,163,90,37,833,64,26.97,5,1,0,79,42,0.681872749,137.91,4,0.044444444,569.2,3416,150,11,2,1,7.11,22.77,829,15.64,138.17,22.49,7.08,150,26.55,160,11,1,1,1,1,,0.06,44,16,19.5,16.5,7.09,22.22,1980
Ashish Nehra,Bowler,5.5,Sunrisers Hyderabad,37,2016,Indian,0,0,2168,88,22,15,41,22,23.41,0,0,0,3,1,0.43902439,66.13,0,0,318,1908,106,14,1,0,7.8,18,40,5.71,65.57,18.26,7.7,89,23.43,74,16,4,1*,1,1,,0.04,62,22,20.41,16.91,7.24,20.18,1979
Ashish Nehra,Bowler,2,Chennai Super Kings,35,2014,Indian,0,1,2168,88,22,15,41,22,23.41,0,0,0,3,1,0.43902439,66.13,0,0,318,1908,106,14,1,0,7.8,18,39,6.5,72.22,19.71,7.71,58,25.32,54,10,4,1,1,0.25,12.5,0.07,36,11,28.73,19.64,8.78,21.57,1979
Murali Kartik,Bowler,1,Kings XI Punjab,38,2014,Indian,0,1,2209,56,16,9,113,21,44.77,0,0,0,7,1,0.300884956,104.63,0,0,191.4,1150,31,1,0,0,7.24,37.1,113,16.14,104.63,36.73,7.06,30,43.23,54,11,2,2*,2,2,,0.11,39,9,31.56,26,7.28,12.16,1976
Zaheer Khan,Bowler,4,Delhi Daredevils,37,2015,Indian,0,0,2245,100,32,18,117,23,27.27,0,0,0,11,2,0.478632479,82.98,0,0,366.4,2200,102,9,1,0,7.59,21.57,107,9.73,93.04,20.69,7.64,75,26.35,70,6,4,7*,8,8,114.29,0.96,22.2,5,29.2,26.8,6.54,20,1978
Zaheer Khan,Bowler,2.6,Mumbai Indians,36,2014,Indian,0,1,2245,100,32,18,117,23,27.27,0,0,0,11,2,0.478632479,82.98,0,0,366.4,2200,102,9,1,0,7.59,21.57,99,9.9,91.67,20.26,7.74,67,26.14,64,2,0,0,0,,,,6,5,9.4,7.2,7.83,55.56,1978
Lakshmipathy Balaji,Bowler,1.8,Kings XI Punjab,33,2014,Indian,0,1,3057,73,15,7,36,15,26.68,0,0,0,2,1,0.388888889,73.47,0,0,252.1,1513,76,7,4,1,8.04,19.91,35,5,76.09,20.45,7.93,64,27.02,64,13,3,9*,9,9,,0.47,50,12,32.25,25,7.74,15,1981
Amit Mishra,Bowler,4.75,Sunrisers Hyderabad,32,2014,Indian,0,1,3108,161,57,25,381,31,23.87,2,0,0,31,5,0.404199475,90.93,1,0.01754386,559.5,3359,173,17,5,1,7.38,19.42,275,11.96,98.92,17.52,6.95,95,20.29,76,17,8,30,89,14.83,92.71,3.87,62,21,18.76,17.71,6.35,19.09,1982
